delay,ss,ll
7,15,16
7,15,17
7,15,20
7,15,22
7,15,25
7,25,26
7,25,28
7,25,30
7,25,32
7,25,35
7,45,46
7,45,48
7,45,50
7,45,52
7,45,55
15,15,16
15,15,19
15,15,21
15,15,23
15,15,30
15,25,26
15,25,29
15,25,31
15,25,33
15,25,40
15,45,46
15,45,49
15,45,53
15,45,57
15,45,65
30,15,16
30,15,20
30,15,23
30,15,26
30,15,32
30,25,26
30,25,30
30,25,33
30,25,36
30,25,42
30,45,47
30,45,50
30,45,55
30,45,60
30,45,70
45,15,16
45,15,21
45,15,24
45,15,27
45,15,35
45,25,26
45,25,33
45,25,37
45,25,41
45,25,50
45,45,47
45,45,52
45,45,57
45,45,62
45,45,75
60,15,17
60,15,25
60,15,30
60,15,35
60,15,43
60,25,27
60,25,35
60,25,40
60,25,45
60,25,53
60,45,48
60,45,55
60,45,60
60,45,65
60,45,80
75,15,17
75,15,28
75,15,33
75,15,38
75,15,46
75,25,27
75,25,38
75,25,43
75,25,48
75,25,58
75,45,48
75,45,58
75,45,63
75,45,68
75,45,83
90,15,17
90,15,28
90,15,33
90,15,38
90,15,46
90,25,27
90,25,38
90,25,43
90,25,48
90,25,58
90,45,48
90,45,58
90,45,63
90,45,68
90,45,83
150,15,17
150,15,28
150,15,33
150,15,38
150,15,48
150,25,27
150,25,38
150,25,43
150,25,48
150,25,60
150,45,48
150,45,58
150,45,63
150,45,68
150,45,85
180,15,20
180,15,30
180,15,35
180,15,40
180,15,60
180,25,30
180,25,40
180,25,45
180,25,50
180,25,65
180,45,50
180,45,60
180,45,65
180,45,70
180,45,90
250,15,20
250,15,33
250,15,38
250,15,53
250,15,65
250,25,30
250,25,43
250,25,48
250,25,53
250,25,70
250,45,50
250,45,63
250,45,68
250,45,73
250,45,95
365,15,22
365,15,35
365,15,40
365,15,45
365,15,75
365,25,32
365,25,45
365,25,50
365,25,65
365,25,80
365,45,52
365,45,65
365,45,70
365,45,75
365,45,100
700,15,25
700,15,45
700,15,50
700,15,55
700,15,90
700,25,35
700,25,60
700,25,65
700,25,70
700,25,100
700,45,55
700,45,80
700,45,85
700,45,90
700,45,150
1000,15,25
1000,15,60
1000,15,70
1000,15,80
1000,15,150
1000,25,35
1000,25,80
1000,25,100
1000,25,120
1000,25,175
1000,45,55
1000,45,100
1000,45,125
1000,45,150
1000,45,225
